               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09934,             0.03886,                   0,           0.0059247,             0.58381,           0.0047751,           0.0017368,            0.089004,            0.027395,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.091483,            0.043703,                   0,           0.0057461,             0.56621,           0.0047046,            0.001621,            0.087674,             0.02777,                   0,            0.066682,           0.0036817,           0.0036817
                   2,            0.090687,             0.04243,                   0,           0.0058588,             0.57731,           0.0049037,           0.0016976,            0.087186,            0.027971,                   0,            0.049545,           0.0055446,           0.0055446
                   3,            0.089353,            0.043946,                   0,           0.0057901,             0.57054,           0.0050457,            0.001699,            0.087602,            0.027825,                   0,            0.032389,           0.0073886,           0.0073886
                   4,             0.08785,            0.044002,                   0,           0.0058752,             0.57893,            0.011625,           0.0029141,            0.086394,            0.028074,                   0,            0.015214,           0.0092139,           0.0092139
                   5,            0.084824,              0.0415,                   0,             0.13643,             0.28595,            0.096124,            0.023988,            0.081424,            0.028259,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,            0.080001,            0.042305,                   0,             0.22856,             0.30653,             0.13657,            0.037215,            0.078654,            0.029657,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.075797,            0.041296,                   0,              0.2492,             0.29299,             0.16259,            0.046643,            0.076328,            0.052988,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.072764,            0.039908,                   0,             0.12171,             0.32115,            0.082084,             0.02318,            0.086058,             0.11207,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.069973,            0.040728,                   0,              0.2353,             0.34931,             0.16852,            0.051547,            0.072438,            0.047797,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.06688,            0.038702,                   0,             0.28085,             0.37646,             0.24275,            0.073402,            0.068936,            0.038269,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.067294,            0.039415,                   0,             0.44199,             0.39057,             0.33466,             0.10877,             0.06673,            0.035032,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.064224,            0.038387,                   0,             0.46463,             0.41619,             0.35768,             0.11539,            0.066311,            0.029409,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.063974,            0.038499,                   0,             0.39805,              0.4319,             0.30555,            0.090791,            0.063768,            0.029446,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.061249,            0.036877,                   0,             0.58216,             0.45816,             0.47075,             0.17228,            0.061234,            0.024966,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.060985,            0.039032,                   0,             0.47907,             0.45491,             0.36884,             0.11879,            0.061715,            0.027079,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.060285,            0.038408,                   0,             0.41729,             0.42486,             0.30625,            0.094775,            0.061536,            0.028111,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.059987,            0.037454,                   0,             0.58063,             0.48281,             0.48203,             0.16273,            0.059409,            0.023444,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.059133,            0.037652,                   0,             0.59241,             0.50772,             0.50263,             0.18858,            0.058751,            0.025167,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.058597,            0.037572,                   0,             0.58799,             0.49959,             0.50399,             0.18822,            0.057457,            0.026478,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.057359,            0.035673,                   0,             0.61964,             0.51435,             0.53372,             0.20369,            0.057646,            0.023258,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.056304,            0.036559,                   0,             0.63085,              0.4541,             0.48625,             0.18979,            0.058732,            0.023456,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.056949,            0.037412,                   0,              0.5961,             0.49986,             0.49013,             0.16781,            0.058924,             0.02327,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.056391,            0.036828,                   0,             0.64849,               0.531,             0.55944,              0.2141,            0.056042,            0.023527,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.056444,            0.037851,                   0,             0.53881,             0.50582,             0.46569,              0.1538,            0.057962,             0.02441,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.054943,            0.035899,                   0,             0.63527,             0.53777,             0.55223,             0.21978,            0.055646,            0.023051,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.054861,            0.036606,                   0,              0.6732,              0.5076,             0.54983,             0.22305,            0.056092,            0.023429,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.054921,            0.035845,                   0,             0.65751,             0.50934,             0.55583,              0.2104,            0.056189,            0.021667,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.054336,            0.036905,                   0,             0.68266,             0.52965,             0.56863,             0.22516,            0.054942,            0.021887,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.054391,            0.036371,                   0,             0.66546,             0.52559,             0.57821,             0.24473,            0.054168,            0.023441,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.053237,            0.035067,                   0,             0.70006,             0.54985,              0.6057,             0.25358,            0.052971,            0.021946,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.05315,            0.036492,                   0,             0.71162,             0.56485,             0.61755,             0.24907,            0.052555,            0.021512,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.052982,            0.036179,                   0,             0.69401,             0.56431,              0.6115,             0.25115,            0.052699,            0.020884,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.052566,            0.035235,                   0,             0.69941,              0.5469,             0.61059,             0.25562,            0.054197,            0.020589,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.052836,              0.0347,                   0,             0.69832,             0.55971,             0.61794,             0.26289,            0.052223,            0.021182,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.052469,            0.036201,                   0,             0.68136,             0.56106,             0.60785,             0.24739,            0.052764,            0.021524,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.051955,            0.035494,                   0,             0.71417,             0.57704,             0.63077,             0.25622,             0.05167,            0.020883,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.051268,               0.035,                   0,             0.72102,             0.56891,             0.63277,             0.27023,            0.051593,             0.02081,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.051471,            0.036237,                   0,             0.68113,             0.56025,             0.60381,             0.25825,            0.052057,             0.02159,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.051245,            0.035482,                   0,             0.69261,              0.5851,             0.63507,             0.27514,            0.051107,            0.021363,                   0,            0.008119,            0.008119,            0.008119
